"Date","Price","Open","High","Low","Vol.","Change %"
"12/14/2023","101.00","101.00","101.00","101.00","","0.50%"
"12/13/2023","100.50","100.50","100.50","100.50","","-0.99%"
"12/12/2023","101.50","101.50","101.50","101.50","","-5.58%"
"12/11/2023","107.50","107.50","107.50","107.50","","-0.46%"
"12/08/2023","108.00","108.00","108.00","108.00","","-0.46%"
"12/07/2023","108.50","108.50","108.50","108.50","","0.70%"
"12/06/2023","107.75","107.75","107.75","107.75","","1.89%"
"12/05/2023","105.75","105.75","105.75","105.75","","-0.70%"
"12/04/2023","106.50","106.50","106.50","106.50","","-2.61%"
"12/01/2023","109.35","109.35","109.35","109.35","","0.32%"
"11/30/2023","109.00","109.00","109.00","109.00","","0.60%"
"11/29/2023","108.35","108.35","108.35","108.35","","-0.91%"
"11/28/2023","109.35","109.35","109.35","109.35","","-2.15%"
"11/27/2023","111.75","111.75","111.75","111.75","","-2.71%"
"11/24/2023","114.86","114.86","114.86","114.86","","0.98%"
"11/22/2023","113.75","113.75","113.75","113.75","","0.22%"
"11/21/2023","113.50","113.50","113.50","113.50","","0.00%"
"11/20/2023","113.50","113.50","113.50","113.50","","0.22%"
"11/17/2023","113.25","113.25","113.25","113.25","","-0.22%"
"11/16/2023","113.50","113.50","113.50","113.50","","0.22%"
"11/15/2023","113.25","113.25","113.25","113.25","","-0.66%"
"11/14/2023","114.00","114.00","114.00","114.00","","-1.08%"
"11/13/2023","115.25","115.25","115.25","115.25","","-0.22%"
"11/10/2023","115.50","115.50","115.50","115.50","","-1.49%"
"11/09/2023","117.25","117.25","117.25","117.25","","1.96%"
"11/08/2023","115.00","115.00","115.00","115.00","","1.10%"
"11/07/2023","113.75","113.75","113.75","113.75","","-0.66%"
"11/06/2023","114.50","114.50","114.50","114.50","","-4.38%"
"11/03/2023","119.75","119.75","119.75","119.75","","0.21%"
"11/02/2023","119.50","119.50","119.50","119.50","","-1.36%"
"11/01/2023","121.15","121.15","121.15","121.15","","-0.08%"
"10/31/2023","121.25","121.25","121.25","121.25","","-2.81%"
"10/30/2023","124.75","124.75","124.75","124.75","","-4.02%"
"10/27/2023","129.97","129.97","129.97","129.97","","-0.02%"
"10/26/2023","130.00","130.00","130.00","130.00","","0.00%"
"10/25/2023","130.00","130.00","130.00","130.00","","0.19%"
"10/24/2023","129.75","129.75","129.75","129.75","","-0.08%"
"10/23/2023","129.85","129.85","129.85","129.85","","-1.25%"
"10/20/2023","131.50","131.50","131.50","131.50","","0.19%"
"10/19/2023","131.25","131.25","131.25","131.25","","-0.38%"
"10/18/2023","131.75","131.75","131.75","131.75","","-0.19%"
"10/17/2023","132.00","132.00","132.00","132.00","","-1.23%"
"10/16/2023","133.65","133.65","133.65","133.65","","-0.37%"
"10/13/2023","134.15","134.15","134.15","134.15","","2.02%"
"10/12/2023","131.50","131.50","131.50","131.50","","1.15%"
"10/11/2023","130.00","130.00","130.00","130.00","","1.17%"
"10/10/2023","128.50","128.50","128.50","128.50","","1.78%"
"10/09/2023","126.25","126.25","126.25","126.25","","2.52%"
"10/06/2023","123.15","123.15","123.15","123.15","","1.36%"
"10/05/2023","121.50","121.50","121.50","121.50","","-0.41%"
"10/04/2023","122.00","122.00","122.00","122.00","","-0.81%"
"10/03/2023","123.00","123.00","123.00","123.00","","-0.93%"
"10/02/2023","124.15","124.15","124.15","124.15","","0.80%"
"09/29/2023","123.17","123.17","123.17","123.17","","1.88%"
"09/28/2023","120.90","120.90","120.90","120.90","","0.25%"
"09/27/2023","120.60","120.60","120.60","120.60","","0.00%"
"09/26/2023","120.60","120.60","120.60","120.60","","0.00%"
"09/25/2023","120.60","120.60","120.60","120.60","","0.00%"
"09/22/2023","120.60","120.60","120.60","120.60","","-0.21%"
"09/21/2023","120.85","120.85","120.85","120.85","","-0.04%"
"09/20/2023","120.90","120.90","120.90","120.90","","0.00%"
"09/19/2023","120.90","120.90","120.90","120.90","","1.09%"
"09/18/2023","119.60","119.60","119.60","119.60","","0.00%"
"09/15/2023","119.60","119.60","119.60","119.60","","0.00%"
"09/14/2023","119.60","119.60","119.60","119.60","","1.36%"
"09/13/2023","118.00","118.00","118.00","118.00","","1.86%"
"09/12/2023","115.85","115.85","115.85","115.85","","0.43%"
"09/11/2023","115.35","115.35","115.35","115.35","","1.50%"
"09/08/2023","113.65","113.65","113.65","113.65","","0.13%"
"09/07/2023","113.50","113.50","113.50","113.50","","0.13%"
"09/06/2023","113.35","113.35","113.35","113.35","","-0.57%"
"09/05/2023","114.00","114.00","114.00","114.00","","-0.57%"
"09/01/2023","114.65","114.65","114.65","114.65","","-0.30%"
"08/31/2023","115.00","115.00","115.00","115.00","","-1.29%"
